$\epsilon$,$Q_{food}$,value,fp_num,name,stability
1.0,0.01,,0,H,False
1.0,0.01,,0,S,False
1.0,0.01,,0,N,False
1.0,0.01,,0,C,False
1.0,0.01,,1,H,False
1.0,0.01,,1,S,False
1.0,0.01,,1,N,False
1.0,0.01,,1,C,False
1.0,0.01,,2,H,False
1.0,0.01,,2,S,False
1.0,0.01,,2,N,False
1.0,0.01,,2,C,False
1.0,0.01,,3,H,False
1.0,0.01,,3,S,False
1.0,0.01,,3,N,False
1.0,0.01,,3,C,False
1.0,0.02357142857142857,17.1428571428571,0,H,False
1.0,0.02357142857142857,0.0,0,S,False
1.0,0.02357142857142857,0.00291857142857143,0,N,False
1.0,0.02357142857142857,0.150000000000000,0,C,False
1.0,0.02357142857142857,17.1428571428571,1,H,True
1.0,0.02357142857142857,42.0779220779221,1,S,True
1.0,0.02357142857142857,0.00291857142857143,1,N,True
1.0,0.02357142857142857,0.00272727272727273,1,C,True
1.0,0.02357142857142857,24.0991735537190,2,H,False
1.0,0.02357142857142857,55.8563543022923,2,S,False
1.0,0.02357142857142857,0.00272727272727273,2,N,False
1.0,0.02357142857142857,0.00281806561577714,2,C,False
1.0,0.02357142857142857,24.0991735537190,3,H,True
1.0,0.02357142857142857,0.258719183746326,3,S,True
1.0,0.02357142857142857,0.00272727272727273,3,N,True
1.0,0.02357142857142857,0.141240161281293,3,C,True
1.0,0.037142857142857144,17.1428571428571,0,H,False
1.0,0.037142857142857144,0.0,0,S,False
1.0,0.037142857142857144,0.00454714285714286,0,N,False
1.0,0.037142857142857144,0.150000000000000,0,C,False
1.0,0.037142857142857144,17.1428571428571,1,H,True
1.0,0.037142857142857144,42.0779220779221,1,S,True
1.0,0.037142857142857144,0.00454714285714286,1,N,True
1.0,0.037142857142857144,0.00272727272727273,1,C,True
1.0,0.037142857142857144,59.1398601398600,2,H,False
1.0,0.037142857142857144,96.0723328078533,2,S,False
1.0,0.037142857142857144,0.00272727272727273,2,N,False
1.0,0.037142857142857144,0.00353387187403191,2,C,False
1.0,0.037142857142857144,59.1398601398600,3,H,True
1.0,0.037142857142857144,4.08781597137118,3,S,True
1.0,0.037142857142857144,0.00272727272727273,3,N,True
1.0,0.037142857142857144,0.0968562266637940,3,C,True
